Series 1: HYD,,,Series 2: THL,,,Series 3: DRAWL,,,Series 4: DEMAND,
19.32811286,424.9073096,,23.1659927,4263.522964,,22.49104812,8613.630957,,20.69698094,10182.27259
19.4161822,390.501654,,23.28943187,4263.700574,,22.59665014,8544.718155,,20.78520252,10199.66571
19.52178422,321.5888511,,23.3776027,4263.827439,,22.68497322,8596.643799,,20.8734241,10217.05884
19.62758923,321.7410886,,23.48340771,4263.979676,,22.77324554,8631.303184,,20.96164569,10234.45196
19.73339423,321.893326,,23.58916196,4246.865654,,22.9146741,8752.369988,,21.04976578,10217.31257
19.83930072,356.5780835,,23.73028605,4264.334897,,23.02022537,8666.190925,,21.1380381,10251.97195
19.94510573,356.7303209,,23.83609105,4264.487134,,23.10814248,8579.986489,,21.22625969,10269.36507
20.0685449,356.9079313,,23.92426189,4264.613999,,23.3017631,8459.40177,,21.33206469,10269.51731
20.1743499,357.0601687,,23.94184531,4247.373112,,23.38973095,8390.463595,,21.42023552,10269.64418
20.2801549,357.2124061,,,,,23.5128149,8269.777384,,21.50850785,10304.30356
20.36832574,357.3392706,,,,,23.61841692,8200.864582,,21.59662794,10287.16417
20.45649657,357.4661351,,,,,23.70658776,8200.991446,,21.68484952,10304.55729
20.54466741,357.5929996,,,,,23.79455561,8132.05327,,21.77312185,10339.21668
20.68645119,599.5236238,,,,,23.88262495,8097.647615,,21.86134343,10356.6098
20.77477426,651.4492685,,,,,,,,21.94941278,10322.20414
20.8629451,651.576133,,,,,,,,22.07269971,10270.58297
